State,Major
WA,Economics
OR,English
CA,Economics
ID,Political Science
MT,Linguistics
AZ,Political Science
UT,Psychology
NV,Tie/NA
CO,History
NM,Tie/NA
ND,Tie/NA
SD,Tie/NA
NE,Tie/NA
KS,Tie/NA
OK,Tie/NA
TX,History
LA,Political Science
AR,Tie/NA
MO,Computer Science
IA,Global Affairs
MN,Political Science
MI,"Ethics, Politics, Economics"
IN ,Economics
OH,Political Science
KY,Economics
WI,History
IL,Economics
TN,Economics
MS,Tie/NA
AL,History
GA,Political Science
FL,Political Science
SC,Tie/NA
NC,Political Science
VA,Tie/NA
WV,Economics
OH,Political Science
MD,Economics
NJ,Economics
NY,Political Science
PA,Tie/NA
CT,Economics
MA,Economics
PR,Economics
RI,Tie/NA
VT,Tie/NA
NH,Tie/NA
ME,Tie/NA
AK,Tie/NA
HI,"Molecular, Cellular, Dev Biology"
DC,History